generation ,best_fitness ,avg_fitness
         1 ,          62 ,      50.26
         2 ,          65 ,      54.82
         3 ,          66 ,      58.86
         4 ,          68 ,      62.34
         5 ,          71 ,      64.74
         6 ,          71 ,      66.7
         7 ,          72 ,      68.28
         8 ,          73 ,      69.88
         9 ,          75 ,      71.22
        10 ,          75 ,      72.54
        11 ,          78 ,      73.28
        12 ,          79 ,      74.52
        13 ,          79 ,      75.46
        14 ,          80 ,      76.36
        15 ,          80 ,      77.6
        16 ,          81 ,      78.44
        17 ,          82 ,      79.3
        18 ,          83 ,      80.08
        19 ,          83 ,      80.84
        20 ,          84 ,      81.2
        21 ,          84 ,      81.82
        22 ,          86 ,      82.12
        23 ,          88 ,      83.14
        24 ,          90 ,      83.96
        25 ,          90 ,      85.0
        26 ,          90 ,      85.76
        27 ,          90 ,      86.9
        28 ,          92 ,      87.8
        29 ,          92 ,      88.66
        30 ,          93 ,      89.66
        31 ,          94 ,      90.16
        32 ,          96 ,      90.92
        33 ,          96 ,      91.98
        34 ,          96 ,      92.48
        35 ,          96 ,      92.5
        36 ,          96 ,      93.22
        37 ,          96 ,      93.46
        38 ,          96 ,      94.1
        39 ,          96 ,      94.02
        40 ,          96 ,      94.56
        41 ,          97 ,      94.68
        42 ,          97 ,      95.16
        43 ,          97 ,      95.32
        44 ,          97 ,      95.02
        45 ,          98 ,      95.9
        46 ,          98 ,      95.92
        47 ,          99 ,      95.88
        48 ,          99 ,      96.18
        49 ,          99 ,      96.62
        50 ,          99 ,      97.0
